city,total_sales_value
Divinópolis,25133.57
Marechal Deodoro,6720.8
Galiléia,396.0
Colombo,6295.0
Volta Redonda ,149.4
Iguape,449.0
Santa Fé do Sul,7410.0
Cristais Paulista,379.0
Santa Luzia,23052.890000000003
Poço das Antas,399.0
Olímpia,13510.98
Capitão Enéas,278.0
Itambacuri,5523.0
São Francisco de Itabapoana,13082.76
Lajinha,2670.0
Ventania,429.0
Itaiópolis,678.0
Itapuí,498.0
Balneário Piçarras,2310.0
Silva Jardim,7462.5
Bananeiras,578.0
São João da Serra,673.5
Jaci Paraná,249.0
Jiquiriçá,727.0
Conceição do Araguaia,1434.0
Brejões,947.0
Nova Santa Rita,653.5
São Lourenço da Mata,2755.5
Nicolau Vergueiro,298.0
Macaíba,398.0
Joaquim Nabuco,1304.0
Barra do Corda,2282.79
Balneário Camboriu,628.0
Abadia dos Dourados,523.5
Bocaina de Minas,149.0
Itapirapuã,974.0
Rio de Janeiro,7292025.700000329
Elísio Medrado,1376.0
Lagoa Dourada,4005.0
Nova Luzitânia,1196.0
Jaborandi,2590.0
Itapororoca,578.0
Rio Verde ,3047.0
Senador Firmino,2388.0
Parauapebas,42529.31999999999
Carbonita,647.0
Caetité,7432.0
Catas Altas,2701.0
Patos de Minas,46487.490000000005
Presidente Venceslau,6625.1
Itápolis,7262.69
PIRATININGA,349.0
MARABÁ,827.0
Jandaíra,349.0
Araputanga,5686.0
Rio Novo,763.0
Carmo de Minas,398.0
Faria Lemos,478.0
Cuité de Mamanguape,349.0
Campos de Júlio,1852.0
São José do Rio Pardo,9361.49
São José do Belmonte,1157.0
São Miguel do Iguaçu,6646.2
Cristais,1506.0
São Domingos das Dores,198.0
Palmeiras,349.0
Jaguaré,4794.0
SANTOS,579.0
Santa Izabel do Pará,4182.0
Paulistana,698.0
Acrelândia,4924.0
Álvaro de Carvalho,628.0
Coronel Murta,2710.0
Esmeraldas,2482.0
Ituiutaba,8117.4
Itapevi,5353.0
Carpina ,528.0
Cananéia,2151.6
Bertioga,10891.0
Pium,1047.0
Formoso,1347.0
Uibaí,2778.0
Iguaí,1047.0
Paraisópolis,396.2
Araranguá,5705.99
São Paulo,3173817.130000025
Avanhandava,2024.0
Suzano,17191.0
Pintadas,249.0
Nordestina,398.0
Iati,2314.2
Caratinga,32743.5
Itabela,10275.3
Guapimirim,15190.369999999999
Setubinha,1912.0
Jordânia,498.0
Nova Esperança do Piriá,429.0
Aral Moreira,498.0
Joaçaba,5532.0
Cristalândia do Piauí,249.0
Naviraí,2347.5
Comodoro,1923.0
JOINVILLE,379.0
São Francisco de Assis,747.0
Nova Erechim,858.0
Rio Doce,198.0
Nova Bandeirantes,847.0
Pedralva,199.0
São Francisco de Paula,6609.0
Saltinho,3488.0
Lambari,1157.0
Córrego do Ouro,449.0
Mirandópolis,9449.689999999999
Santa Isabel do Pará,498.0
Tijucas,919.4
Brumado,8313.95
Delmiro Gouveia,8537.47
Sapezal,3856.0
Bastos,3144.0
Várzea Grande,15758.99
