productId,title,stock
75338,Tênis Apolo Laranja Laranja - 42,True
78513,Calça Estampada Jardim De Tucano Jardim De Tucano_Preto - PP,True
148798,Vestido Lastex Estampado Jade Jade_Lilas Brunela - PP,True
83177,T-Shirt Média Colorido Por Natureza Verde Verde Cachoeira - P,True
69613,Sandal Shiny Platform Preto - 40,True
81814,Calça Pantalona Estampada Samambaia Est Rendeira_Azul Caribe @ - M,True
69611,Puff Sandal Flatform Off White - 43,True
148304,Pull Tricot Artesanal Flores Rosa Glace - GG,True
72114,Body Franja Coração Rainbow Preto - M,True
84144,Calça Alfaiataria Cotelê Preto - 38,True
77794,Camisa Uni Estampada Tucananas Multicolorido - G,True
84838,Mochila Borogodó Honolulu Carioca Hololulu Flor - U,True
78136,Vestido Curto Pregas Lilas Azaleia - GG,True
74539,Vestido Paetê Corações Multicolorido - PP,True
75629,Colete Estampado Lembrança De Verão Coco Lembranca De Verao Coco_Off White - G,True
81953,Windbreaker Ponto Cruz Estampado Luiza Est Luiza_Off White - M,True
73504,Calça Bolso Cropped Laranja Cenoura - PP,True
76386,Calça Estampada Yuinahu Corrido Yuinahu Corrido_Marrom Galho - GG,True
79869,Vestido Curto Manga Estampado Lenço De Inverno Lenco De Inverno_Bege Macrame - M,True
74657,Biquíni Estampado Floral Neon Floral Neon_Laranja Dalia - P,True
154729,Blusa Malha Jacarinho Rosa Est Jacarinho Fundo Rosa Ciclamen% - 4,True
80389,Blusa Golinha Folia Preto - GG,True
149913,Tênis Pista Verde - 35,True
154685,Blusa Silk Natureza Off White - 4,True
155187,Macaquinho Bebe Malha Blim Blim Est Blim Blim Fundo Off% - 18M,True
148818,Vestido Sem Manga Estampado Milani Milani_Off White - P,True
152021,Tênis Avenida Tratorado Iate Selvática - 38,True
71929,Cropped Manga Longa Tie Dye Riscadinho Est Tie Dye Riscadinho Mini @ - P,True
83609,Vestido Sobreposição Estampado Rio Antigo Rio Antigo_Multicolorido - PP,True
83779,Vestido Mangas Pregas Lilas Salvia - GG,True
62640,Top Manga Longa Adidas Toucans Paradise Preto - P,True
74186,Regata Cropped Cetim Rosa Selva - M,True
82797,Saia Longa Estampada Alice Off Alice_Off White - PP,True
76967,Saia Recortes Estampada Flor De Borboleta Insetos Florais_Amarelo Vagalume - M,True
68108,Capa De Laptop 13 Estampada Banana Fábula Multicolorido - U,True
84369,Bata Estampada Lenço Floraline Lenco Floraline_Off White - M,True
73830,Blazer Estampado Coqueirou Coqueirou_Bege Quinoa - M,True
80556,Calça Sarja Estampada Tigre Da Noite Tigre Da Noite_Sarja_Marrom Terra - 44,True
149187,T-Shirt Cropped Estampada Festa De Caju Festa De Caju_Preto - P,True
