city,total_revenue
Alegrete,4179.0
Itamarati de Minas,4174.0
Bambuí,4171.5
Silvânia,4170.0
Matriz de Camaragibe,4168.8
Rio Pardo de Minas,4166.0
Serra dos Aimorés,4165.0
BELO HORIZONTE,4156.0
Rifaina,4151.99
Caxambu,4145.99
Bocaiúva,4145.0
Coruripe,4143.0
Guanhães,4141.5
Assis Chateaubriand,4139.0
Mafra,4131.99
Eusébio,4124.99
Loanda,4118.48
Correntina,4104.0
Cruzeiro do Oeste,4086.0
Itacaré,4072.0
Tatuí,4071.4
Pojuca,4067.4
Grajaú,4066.4
Sabinópolis,4065.0
São Gabriel,4065.0
Estrela de Alagoas,4060.0
Paraíso,4058.0
Felixlândia,4049.99
Lagoa Dourada,4005.0
Caxias,3986.5
Elói Mendes,3982.1000000000004
Tapera,3980.0
Sorriso,3972.1
Bom Jesus do Norte,3964.0
Três Pontas,3961.6
Guará,3954.0
Itanhaém,3946.0
Laranjal Paulista,3938.0
Boca do Acre,3932.0
Xinguara,3928.8
Salvador do Sul,3928.0
Bom Jesus do Galho,3923.48
Tambaú,3914.98
Campo Largo,3905.0
Casa Branca,3893.0
Sapezal,3856.0
Barra dos Coqueiros,3854.99
Palmital,3846.0
Tocantinópolis,3839.9
Rio das Flores,3822.4
Sobral,3817.0
Venda Nova do Imigrante,3800.5
Barão de Cocais,3799.0
Flórida Paulista,3790.0
CURITIBA,3778.0
Gaspar,3777.0
Espera Feliz,3773.3
Pilar,3726.6
Santa Cruz,3718.0
Aracati,3714.0
Divino,3708.5
Timbó,3699.99
Cerqueira César,3698.0
Centralina,3689.2
Nepomuceno,3688.0
Ouro Fino,3679.0
José de Freitas,3677.0
Alvorada,3673.98
Tremembé,3671.5
Dom Pedro,3670.5
Itaberá,3635.0
Oiapoque,3635.0
Dom Eliseu,3633.0
Cachoeira,3599.0
Santa Isabel,3598.0
Salto da Divisa,3597.0
Alexânia,3592.8999999999996
Entre Rios,3584.49
Conceição da Barra,3583.0
Irará,3578.98
Piranhas,3566.0
Anaurilândia,3560.6
Goiania,3559.5
Monte Azul,3557.0
Maragogi,3556.0
Bicas,3555.0
Gandu,3548.0
Andirá,3531.0
São Raimundo Nonato,3529.0
Piumhi,3529.0
Serrana,3525.0
Jataizinho,3520.0
Carpina,3506.0
Dores do Rio Preto,3506.0
Santa Cruz de Minas,3489.0
Saltinho,3488.0
Estreito,3478.0
Ribas do Rio Pardo,3468.99
Piratininga,3459.4700000000003
São Felipe,3450.0
Peabiru,3448.0
Simonésia,3445.7
Mantena,3438.9700000000003
Santa Mariana,3437.0
Morungaba,3436.3
Araporã,3423.0
Gramado,3419.0
Abre Campo,3417.0
Mata de São João,3411.0
Luz,3409.0
Cajuru,3385.0
Ituporanga,3381.99
Paranaiguara,3377.49
Socorro,3370.0
Florestópolis,3368.0
Itaquiraí,3366.0
São Joaquim de Bicas,3365.0
Nerópolis,3359.0
Lajeado,3350.4
Santana do Manhuaçu,3337.0
Santana de Cataguases,3330.0
Caputira,3330.0
Franco da Rocha,3329.0
NITEROI,3322.0
Cristalândia,3320.0
Corumbaiba,3312.99
Candeias,3311.0
Coaraci,3304.0
Oliveira dos Brejinhos,3300.0
Carlos Barbosa,3296.0
Cipó,3296.0
Santa Cruz Cabrália,3285.7
Pontal,3276.0
Nova Xavantina,3275.1
Bragança,3272.2
Paudalho,3272.0
Juatuba,3271.0
Águas de Lindóia,3270.98
Igaporã,3269.4
Santa Isabel do Ivaí,3269.0
Juína,3261.99
Tabatinga,3242.99
Colina,3239.0
Rio Casca,3228.99
Pederneiras,3228.99
Miranda,3228.8
Meleiro,3226.0
Oliveira,3223.29
Peruíbe,3220.99
Rio Maria,3220.0
Ponta Porã,3218.99
Pompéu,3212.4
Itapipoca,3199.0
Abreu e Lima,3193.5
Barra Longa,3188.0
Altamira,3188.0
Ribeira do Pombal,3185.99
Ibiá,3180.6
Palmeiras de Goiás,3174.0
Penha,3172.8
OURO PRETO,3161.0
Rio das Pedras,3161.0
Prata,3159.99
Dumont,3159.0
CONSELHEIRO LAFAIETE,3158.0
Dona Euzébia,3157.85
Santa Rita do Passa Quatro,3153.3
Bastos,3144.0
Aripuanã,3142.0
Brejetuba,3137.0
Pereira Barreto,3134.99
Sapiranga,3131.0
Anicuns,3130.0
Ataléia,3120.0
Bela Vista do Paraíso,3120.0
Castro,3114.8
